run_id,dataset,method,seed,epoch,train_loss,val_loss,val_macro_f1,prototype_purity,mean_uncertainty,activation_consistency
run_20260614_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260614,45,0.08855,0.15536,87.5614,0.845,0.5169,0.8293
run_20260614_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260614,46,0.09209,0.11776,98.5407,0.9061,0.0768,0.8535
run_20260614_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260614,47,0.11314,0.11738,86.6265,0.8797,0.5851,0.8747
run_20260614_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260614,48,0.06696,0.14659,89.3146,0.8858,0.4395,0.8903
run_20260601_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260601,49,0.06086,0.10986,96.153,0.8612,0.1591,0.8547
run_20260601_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260601,50,0.0874,0.15078,76.3835,0.8363,0.9034,0.8625
run_20260601_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260601,51,0.07255,0.13131,81.6993,0.8346,0.7323,0.8436
run_20260601_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260601,52,0.06365,0.11902,97.2005,0.8779,0.1566,0.8719
run_20260601_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260601,53,0.04189,0.16058,79.5178,0.8865,0.892,0.8453
run_20260601_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260601,54,0.05549,0.10359,85.6412,0.8902,0.5814,0.8609
run_20260601_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260601,55,0.05645,0.07268,98.1937,0.8592,0.0774,0.8588
run_20260601_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260601,56,0.04874,0.13815,82.0321,0.8914,0.7208,0.817
run_20260601_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260601,57,0.05563,0.12856,87.1893,0.8584,0.5687,0.8482
run_20260601_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260601,58,0.06109,0.02667,98.0443,0.8529,0.0253,0.8564
run_20260601_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260601,59,0.02601,0.11972,81.7152,0.8822,0.7218,0.8568
run_20260601_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260601,60,0.0646,0.08486,87.6821,0.8445,0.5314,0.8369
run_20260601_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260601,1,1.66982,1.85744,85.7842,0.7052,0.6507,0.8735
run_20260601_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260601,2,1.60028,1.77401,72.5402,0.7612,0.98,0.8622
run_20260601_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260601,3,1.49171,1.65724,76.9434,0.7704,0.9246,0.8304
run_20260601_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260601,4,1.41287,1.5078,88.9718,0.8545,0.4479,0.8555
run_20260601_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260601,5,1.30208,1.50986,77.259,0.8147,0.9741,0.8717
run_20260601_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260601,6,1.24417,1.37065,81.1794,0.8196,0.8226,0.8471
run_20260607_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260607,7,1.19133,1.28619,88.6854,0.7597,0.4603,0.8324
run_20260607_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260607,8,1.10112,1.24855,69.0599,0.7364,0.98,0.8466
run_20260607_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260607,9,1.03285,1.14363,76.5592,0.7717,0.98,0.8376
run_20260607_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260607,10,0.96367,1.03323,90.9848,0.8079,0.3318,0.8562
run_20260607_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260607,11,0.9099,1.05025,73.4872,0.7777,0.98,0.8124
run_20260607_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260607,12,0.85097,0.95053,79.5357,0.7313,0.9026,0.855
run_20260607_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260607,13,0.7889,0.82769,93.3857,0.7722,0.3002,0.8519
run_20260607_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260607,14,0.74726,0.82935,77.6227,0.768,0.9507,0.8464
run_20260607_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260607,15,0.71299,0.77538,83.6794,0.797,0.7119,0.8348
run_20260607_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260607,16,0.67235,0.7002,93.8314,0.792,0.2768,0.8251
run_20260607_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260607,17,0.61574,0.72014,78.4507,0.7451,0.9145,0.8715
run_20260607_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260607,18,0.58251,0.66314,84.8269,0.8005,0.5889,0.8058
run_20260607_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260607,19,0.55114,0.56003,95.5604,0.8029,0.1768,0.8681
run_20260607_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260607,20,0.50125,0.61048,80.7792,0.7796,0.8575,0.841
run_20260607_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260607,21,0.48914,0.53261,85.4408,0.7861,0.6593,0.8168
run_20260607_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260607,22,0.45082,0.46588,96.343,0.8636,0.1349,0.8222
run_20260607_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260607,23,0.44888,0.4843,84.4641,0.8957,0.6907,0.8479
run_20260607_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260607,24,0.37781,0.43871,86.7081,0.8171,0.5313,0.8354
run_20260614_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260614,25,0.39532,0.35945,94.8375,0.7827,0.2418,0.8269
run_20260614_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260614,26,0.34998,0.48545,73.643,0.7913,0.98,0.835
run_20260614_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260614,27,0.3242,0.42087,80.8216,0.7983,0.7833,0.8525
run_20260614_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260614,28,0.27504,0.32717,96.0861,0.8157,0.2209,0.8815
run_20260614_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260614,29,0.31761,0.39562,77.6044,0.8045,0.881,0.8557
run_20260614_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260614,30,0.24182,0.34614,83.3468,0.78,0.7874,0.8546
run_20260614_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260614,31,0.25284,0.27342,96.8626,0.7882,0.1401,0.821
run_20260614_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260614,32,0.23945,0.32132,80.7763,0.7848,0.8131,0.8577
run_20260614_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260614,33,0.22797,0.29787,85.9113,0.8054,0.5892,0.8551
run_20260614_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260614,34,0.20549,0.19502,97.0988,0.7964,0.1466,0.8312
run_20260614_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260614,35,0.20098,0.26974,81.0103,0.8323,0.7974,0.8343
run_20260614_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260614,36,0.17123,0.2445,86.6234,0.8314,0.5402,0.8467
run_20260614_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260614,37,0.18523,0.17474,97.86,0.8076,0.0494,0.8444
run_20260614_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260614,38,0.16784,0.17432,84.1762,0.8104,0.6103,0.8339
run_20260614_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260614,39,0.14038,0.20434,87.2116,0.8469,0.5418,0.8616
run_20260614_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260614,40,0.1255,0.14401,98.4633,0.9068,0.02,0.8617
run_20260614_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260614,41,0.15243,0.19689,86.2289,0.8708,0.5144,0.8428
run_20260614_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260614,42,0.13506,0.16391,89.5049,0.8904,0.4423,0.846
run_20260601_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260601,43,0.13811,0.10968,96.2997,0.8178,0.1964,0.8086
run_20260601_PlantDoc_ResNet-50,PlantDoc,ResNet-50,20260601,44,0.12257,0.22154,75.4374,0.831,0.98,0.8638
run_20260601_CUB-200-2011_ResNet-50,CUB-200-2011,ResNet-50,20260601,45,0.08891,0.17248,82.3631,0.8172,0.7655,0.8267
run_20260601_PlantVillage_EfficientNet-B3,PlantVillage,EfficientNet-B3,20260601,46,0.09009,0.11003,96.8931,0.8525,0.136,0.8634
run_20260601_PlantDoc_EfficientNet-B3,PlantDoc,EfficientNet-B3,20260601,47,0.09448,0.16618,80.073,0.8312,0.8751,0.8508
run_20260601_CUB-200-2011_EfficientNet-B3,CUB-200-2011,EfficientNet-B3,20260601,48,0.10662,0.12065,85.0095,0.8456,0.5139,0.8621
run_20260601_PlantVillage_ConvNeXt-Tiny,PlantVillage,ConvNeXt-Tiny,20260601,49,0.11202,0.07986,97.8786,0.8243,0.0331,0.8698
run_20260601_PlantDoc_ConvNeXt-Tiny,PlantDoc,ConvNeXt-Tiny,20260601,50,0.07781,0.14555,82.1225,0.822,0.7342,0.866
run_20260601_CUB-200-2011_ConvNeXt-Tiny,CUB-200-2011,ConvNeXt-Tiny,20260601,51,0.03727,0.12162,86.6064,0.8292,0.5815,0.8504
run_20260601_PlantVillage_Swin-Tiny,PlantVillage,Swin-Tiny,20260601,52,0.05577,0.10219,97.7354,0.8123,0.094,0.8521
run_20260601_PlantDoc_Swin-Tiny,PlantDoc,Swin-Tiny,20260601,53,0.07474,0.15507,81.8443,0.8712,0.8348,0.8425
run_20260601_CUB-200-2011_Swin-Tiny,CUB-200-2011,Swin-Tiny,20260601,54,0.07123,0.09481,87.3934,0.8436,0.6529,0.8682
run_20260601_PlantVillage_ConvNeXtplusARM,PlantVillage,ConvNeXt+ARM,20260601,55,0.05385,0.07642,98.2246,0.8651,0.1447,0.8252
run_20260601_PlantDoc_ConvNeXtplusARM,PlantDoc,ConvNeXt+ARM,20260601,56,0.06767,0.11303,83.6492,0.8605,0.6674,0.8883
run_20260601_CUB-200-2011_ConvNeXtplusARM,CUB-200-2011,ConvNeXt+ARM,20260601,57,0.05922,0.08569,87.7395,0.8566,0.5997,0.8026
run_20260601_PlantVillage_UAMP-Net,PlantVillage,UAMP-Net,20260601,58,0.012,0.018,99.0027,0.9432,0.02,0.8824
run_20260601_PlantDoc_UAMP-Net,PlantDoc,UAMP-Net,20260601,59,0.06518,0.09659,87.1342,0.9509,0.5358,0.8277
run_20260601_CUB-200-2011_UAMP-Net,CUB-200-2011,UAMP-Net,20260601,60,0.03251,0.06448,89.8727,0.919,0.3704,0.873
run_20260607_PlantVillage_ResNet-50,PlantVillage,ResNet-50,20260607,1,1.71493,1.83443,84.1374,0.7526,0.5402,0.8425
