dataset,class_id,prototype_id,mixture_weight,covariance_trace,activation_mean,separation,reliability,uncertainty,support
CUB-200-2011,11,46,0.209788,1.242533,0.840410,10.045135,1.000000,0.000000,120
CUB-200-2011,11,47,0.190725,0.963337,0.822780,10.443532,0.122582,0.877418,110
CUB-200-2011,12,48,0.332945,1.356846,0.811431,10.190204,1.000000,0.000000,100
CUB-200-2011,12,49,0.358700,1.711412,0.825016,9.859450,0.000000,1.000000,110
CUB-200-2011,12,50,0.281423,1.075296,0.832760,10.100789,0.029987,0.970013,90
CUB-200-2011,13,51,0.266511,0.714096,0.834533,10.668301,0.946296,0.053704,90
CUB-200-2011,13,52,0.294622,0.930770,0.840626,10.673159,1.000000,0.000000,100
CUB-200-2011,13,53,0.204385,1.199499,0.806694,10.651442,0.000023,0.999977,70
CUB-200-2011,13,54,0.216524,1.476872,0.841323,10.521839,0.000000,1.000000,80
CUB-200-2011,14,55,0.205208,1.321895,0.817974,10.173129,0.944974,0.055026,90
CUB-200-2011,14,56,0.136775,0.654610,0.847049,10.018799,0.002756,0.997244,60
CUB-200-2011,14,57,0.157565,0.804530,0.814218,9.617109,0.000000,1.000000,70
CUB-200-2011,14,58,0.178945,1.014762,0.838806,9.878150,1.000000,0.000000,80
CUB-200-2011,14,59,0.309296,1.963797,0.847765,10.201129,0.023219,0.976781,140
CUB-200-2011,15,60,0.308402,0.764153,0.838635,10.441336,0.033296,0.966704,120
CUB-200-2011,15,61,0.332659,0.984671,0.831705,10.268231,1.000000,0.000000,130
CUB-200-2011,15,62,0.338304,1.278938,0.832777,9.849803,0.000000,1.000000,140
CUB-200-2011,16,63,0.239482,1.182092,0.820232,9.890432,1.000000,0.000000,110
CUB-200-2011,16,64,0.217287,0.901816,0.812875,10.126990,0.000000,1.000000,100
CUB-200-2011,16,65,0.259279,1.546022,0.817570,9.878150,0.024735,0.975265,120
CUB-200-2011,16,66,0.274352,1.916989,0.824467,10.480519,0.043901,0.956099,130
CUB-200-2011,17,67,0.240872,1.040858,0.825550,10.868870,1.000000,0.000000,120
CUB-200-2011,17,68,0.180203,1.348317,0.832207,10.011755,0.256711,0.743289,90
CUB-200-2011,17,69,0.216807,0.783689,0.835968,10.404981,0.990675,0.009325,110
CUB-200-2011,17,70,0.195107,1.682374,0.820739,9.984188,0.000000,1.000000,100
CUB-200-2011,17,71,0.154552,1.098960,0.844340,10.764236,0.001884,0.998116,80
CUB-200-2011,18,72,0.286299,1.028754,0.850241,10.307035,0.073825,0.926175,60
CUB-200-2011,18,73,0.331033,1.344233,0.821724,10.556712,0.000000,1.000000,70
CUB-200-2011,18,74,0.342140,0.627413,0.824408,9.984188,0.999998,0.000002,80
CUB-200-2011,19,75,0.150975,0.779893,0.814926,10.211068,0.000000,1.000000,60
CUB-200-2011,19,76,0.346933,0.796531,0.844781,10.252200,1.000000,0.000000,140
CUB-200-2011,19,77,0.315977,1.890885,0.831345,10.087297,0.000031,0.999969,130
CUB-200-2011,19,78,0.166498,0.989608,0.828896,10.791199,0.490322,0.509678,70
