2026-06-22 09:29:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00009817 | val_macro_f1=86.4554 | prototype_update=no
2026-06-22 08:21:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00007846 | val_macro_f1=88.4439 | prototype_update=no
2026-06-22 11:10:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00009813 | val_macro_f1=85.7758 | prototype_update=no
2026-06-22 14:06:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00007200 | val_macro_f1=87.6635 | prototype_update=no
2026-06-22 09:55:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00006720 | val_macro_f1=87.7504 | prototype_update=no
2026-06-22 10:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00005185 | val_macro_f1=86.8466 | prototype_update=no
2026-06-22 13:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=eval | lr=0.00005895 | val_macro_f1=88.6699 | prototype_update=no
2026-06-22 09:40:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=loader | lr=0.00007553 | val_macro_f1=86.2109 | prototype_update=no
2026-06-22 12:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=train | lr=0.00005279 | val_macro_f1=89.9111 | prototype_update=yes
2026-06-22 13:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=eval | lr=0.00006943 | val_macro_f1=87.5236 | prototype_update=no
2026-06-22 08:53:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=loader | lr=0.00009358 | val_macro_f1=89.4134 | prototype_update=no
2026-06-22 11:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=train | lr=0.00008790 | val_macro_f1=88.7518 | prototype_update=no
2026-06-22 12:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=eval | lr=0.00009119 | val_macro_f1=84.3470 | prototype_update=no
2026-06-22 10:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=loader | lr=0.00009215 | val_macro_f1=91.2095 | prototype_update=no
2026-06-22 10:21:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=train | lr=0.00005080 | val_macro_f1=86.5601 | prototype_update=no
2026-06-22 12:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=eval | lr=0.00005733 | val_macro_f1=86.4996 | prototype_update=no
2026-06-22 10:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=loader | lr=0.00006005 | val_macro_f1=84.4655 | prototype_update=no
2026-06-22 11:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=train | lr=0.00005498 | val_macro_f1=90.8284 | prototype_update=no
2026-06-22 13:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=eval | lr=0.00006746 | val_macro_f1=91.4794 | prototype_update=no
2026-06-22 09:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=loader | lr=0.00007966 | val_macro_f1=88.3035 | prototype_update=no
2026-06-22 11:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=train | lr=0.00008008 | val_macro_f1=89.3063 | prototype_update=no
2026-06-22 13:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=eval | lr=0.00006652 | val_macro_f1=84.4977 | prototype_update=no
2026-06-22 10:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=loader | lr=0.00006365 | val_macro_f1=91.5160 | prototype_update=no
2026-06-22 11:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=train | lr=0.00007555 | val_macro_f1=86.7069 | prototype_update=no
2026-06-22 14:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=eval | lr=0.00006679 | val_macro_f1=90.4882 | prototype_update=no
2026-06-22 08:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=loader | lr=0.00009935 | val_macro_f1=88.1557 | prototype_update=no
2026-06-22 10:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=train | lr=0.00005456 | val_macro_f1=87.3789 | prototype_update=yes
2026-06-22 14:12:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=eval | lr=0.00008961 | val_macro_f1=86.5151 | prototype_update=no
2026-06-23 09:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00008001 | val_macro_f1=91.5039 | prototype_update=no
2026-06-23 10:42:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00005856 | val_macro_f1=85.9958 | prototype_update=no
2026-06-23 13:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00007093 | val_macro_f1=91.4575 | prototype_update=no
2026-06-23 08:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00005496 | val_macro_f1=88.5127 | prototype_update=no
2026-06-23 11:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00008774 | val_macro_f1=88.8951 | prototype_update=no
2026-06-23 13:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00009478 | val_macro_f1=84.2598 | prototype_update=no
2026-06-23 09:49:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00006590 | val_macro_f1=89.8141 | prototype_update=no
2026-06-23 11:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00005312 | val_macro_f1=89.6363 | prototype_update=no
2026-06-23 13:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00007815 | val_macro_f1=87.4776 | prototype_update=no
2026-06-23 09:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00005766 | val_macro_f1=88.8990 | prototype_update=no
2026-06-23 10:55:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00007842 | val_macro_f1=90.2742 | prototype_update=no
2026-06-23 12:30:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00009428 | val_macro_f1=84.6862 | prototype_update=no
2026-06-23 09:27:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00008687 | val_macro_f1=91.0705 | prototype_update=no
2026-06-23 11:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00008296 | val_macro_f1=91.4809 | prototype_update=no
2026-06-23 12:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00005212 | val_macro_f1=89.2562 | prototype_update=no
2026-06-23 09:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00005845 | val_macro_f1=93.5523 | prototype_update=no
2026-06-23 11:42:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00009522 | val_macro_f1=91.3356 | prototype_update=yes
2026-06-23 13:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00008508 | val_macro_f1=88.3564 | prototype_update=no
2026-06-23 09:51:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00009628 | val_macro_f1=88.3438 | prototype_update=no
2026-06-23 10:32:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00008419 | val_macro_f1=91.5362 | prototype_update=no
2026-06-23 13:29:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00007446 | val_macro_f1=91.1380 | prototype_update=no
2026-06-23 09:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00009115 | val_macro_f1=88.1298 | prototype_update=no
2026-06-23 11:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00009366 | val_macro_f1=87.8919 | prototype_update=no
2026-06-23 13:36:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00009194 | val_macro_f1=85.8749 | prototype_update=no
2026-06-23 09:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00006587 | val_macro_f1=88.3365 | prototype_update=no
2026-06-23 10:15:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00006154 | val_macro_f1=88.3513 | prototype_update=no
2026-06-23 13:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00007182 | val_macro_f1=85.1056 | prototype_update=no
2026-06-23 09:05:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00009781 | val_macro_f1=90.4109 | prototype_update=no
2026-06-23 10:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00007731 | val_macro_f1=88.4812 | prototype_update=no
2026-06-23 14:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00007239 | val_macro_f1=91.4168 | prototype_update=no
2026-06-23 09:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00007814 | val_macro_f1=87.8034 | prototype_update=no
2026-06-23 10:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00006349 | val_macro_f1=85.9411 | prototype_update=no
2026-06-23 13:33:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=eval | lr=0.00005672 | val_macro_f1=88.6528 | prototype_update=no
2026-06-23 10:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=loader | lr=0.00008452 | val_macro_f1=88.9343 | prototype_update=no
2026-06-23 10:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=train | lr=0.00006891 | val_macro_f1=93.2868 | prototype_update=yes
2026-06-23 14:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=eval | lr=0.00008588 | val_macro_f1=90.7208 | prototype_update=no
2026-06-23 09:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=loader | lr=0.00006672 | val_macro_f1=87.0381 | prototype_update=no
2026-06-23 12:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=train | lr=0.00006517 | val_macro_f1=87.5552 | prototype_update=no
2026-06-23 13:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=eval | lr=0.00008940 | val_macro_f1=85.9858 | prototype_update=no
2026-06-23 09:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=loader | lr=0.00005034 | val_macro_f1=89.8158 | prototype_update=no
2026-06-23 11:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=train | lr=0.00008479 | val_macro_f1=84.8672 | prototype_update=no
2026-06-23 13:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=eval | lr=0.00006189 | val_macro_f1=87.1440 | prototype_update=no
2026-06-23 09:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=loader | lr=0.00005448 | val_macro_f1=91.6594 | prototype_update=no
2026-06-23 11:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=train | lr=0.00006033 | val_macro_f1=86.8113 | prototype_update=no
2026-06-23 12:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=eval | lr=0.00006685 | val_macro_f1=91.5874 | prototype_update=no
2026-06-23 09:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=loader | lr=0.00006938 | val_macro_f1=90.8148 | prototype_update=no
2026-06-23 11:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=train | lr=0.00009440 | val_macro_f1=91.3295 | prototype_update=no
2026-06-23 14:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=eval | lr=0.00008820 | val_macro_f1=89.9303 | prototype_update=no
2026-06-23 08:54:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=loader | lr=0.00009769 | val_macro_f1=89.4134 | prototype_update=no
2026-06-23 10:52:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=train | lr=0.00005989 | val_macro_f1=91.0460 | prototype_update=no
2026-06-23 12:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=eval | lr=0.00009019 | val_macro_f1=87.4568 | prototype_update=no
2026-06-23 10:02:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=loader | lr=0.00009640 | val_macro_f1=91.7694 | prototype_update=no
2026-06-23 11:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=train | lr=0.00005074 | val_macro_f1=90.3248 | prototype_update=yes
2026-06-23 12:54:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=eval | lr=0.00007590 | val_macro_f1=90.5788 | prototype_update=no
2026-06-24 08:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00005852 | val_macro_f1=88.7823 | prototype_update=no
2026-06-24 11:54:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00009272 | val_macro_f1=91.2221 | prototype_update=no
2026-06-24 14:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00007301 | val_macro_f1=84.7570 | prototype_update=no
2026-06-24 09:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00009728 | val_macro_f1=87.6139 | prototype_update=no
2026-06-24 10:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00005548 | val_macro_f1=84.7255 | prototype_update=no
2026-06-24 13:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00009467 | val_macro_f1=90.0737 | prototype_update=no
2026-06-24 09:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00008163 | val_macro_f1=84.2073 | prototype_update=no
2026-06-24 11:52:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00007098 | val_macro_f1=89.1291 | prototype_update=no
2026-06-24 13:52:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00008534 | val_macro_f1=91.6638 | prototype_update=no
2026-06-24 10:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00007710 | val_macro_f1=90.8566 | prototype_update=no
2026-06-24 10:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00006698 | val_macro_f1=87.3132 | prototype_update=no
2026-06-24 13:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00007439 | val_macro_f1=84.8665 | prototype_update=no
2026-06-24 09:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00005437 | val_macro_f1=87.1003 | prototype_update=no
2026-06-24 10:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00007879 | val_macro_f1=90.0402 | prototype_update=no
2026-06-24 12:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00009073 | val_macro_f1=85.1776 | prototype_update=no
2026-06-24 09:45:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00009148 | val_macro_f1=90.4974 | prototype_update=no
2026-06-24 11:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00007055 | val_macro_f1=91.7977 | prototype_update=yes
2026-06-24 13:23:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00007754 | val_macro_f1=86.9413 | prototype_update=no
2026-06-24 09:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00008029 | val_macro_f1=90.7948 | prototype_update=no
2026-06-24 10:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00005915 | val_macro_f1=85.7479 | prototype_update=no
2026-06-24 14:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00006677 | val_macro_f1=90.2085 | prototype_update=no
2026-06-24 08:58:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00006668 | val_macro_f1=87.9659 | prototype_update=no
2026-06-24 10:36:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00005565 | val_macro_f1=90.9119 | prototype_update=no
2026-06-24 12:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00007520 | val_macro_f1=87.7805 | prototype_update=no
2026-06-24 08:58:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00008643 | val_macro_f1=90.1342 | prototype_update=no
2026-06-24 11:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00006148 | val_macro_f1=91.8038 | prototype_update=no
2026-06-24 12:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00009159 | val_macro_f1=86.7014 | prototype_update=no
2026-06-24 09:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00007586 | val_macro_f1=89.5547 | prototype_update=no
2026-06-24 11:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00005038 | val_macro_f1=90.6410 | prototype_update=no
2026-06-24 14:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00006456 | val_macro_f1=90.2916 | prototype_update=no
2026-06-24 10:10:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00006095 | val_macro_f1=85.9321 | prototype_update=no
2026-06-24 12:08:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00007407 | val_macro_f1=89.5604 | prototype_update=no
