2026-06-15 09:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00006473 | val_macro_f1=91.1345 | prototype_update=no
2026-06-15 09:33:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00006085 | val_macro_f1=87.1527 | prototype_update=no
2026-06-15 11:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00008536 | val_macro_f1=84.7286 | prototype_update=no
2026-06-15 13:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00009515 | val_macro_f1=91.2348 | prototype_update=no
2026-06-15 10:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00006326 | val_macro_f1=88.1344 | prototype_update=no
2026-06-15 11:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00008376 | val_macro_f1=84.8518 | prototype_update=no
2026-06-15 12:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00005790 | val_macro_f1=86.4950 | prototype_update=no
2026-06-15 08:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00008266 | val_macro_f1=89.2040 | prototype_update=no
2026-06-15 11:51:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00009921 | val_macro_f1=86.5239 | prototype_update=no
2026-06-15 13:16:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00009491 | val_macro_f1=90.6841 | prototype_update=no
2026-06-15 09:32:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00005293 | val_macro_f1=91.3396 | prototype_update=no
2026-06-15 10:40:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00008634 | val_macro_f1=86.1299 | prototype_update=no
2026-06-15 13:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00008587 | val_macro_f1=90.7601 | prototype_update=no
2026-06-15 08:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00008503 | val_macro_f1=84.1972 | prototype_update=no
2026-06-15 10:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00009049 | val_macro_f1=85.7904 | prototype_update=no
2026-06-15 12:27:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=eval | lr=0.00007417 | val_macro_f1=90.2669 | prototype_update=no
2026-06-15 09:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=loader | lr=0.00006721 | val_macro_f1=92.5622 | prototype_update=no
2026-06-15 12:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=train | lr=0.00009897 | val_macro_f1=87.2546 | prototype_update=yes
2026-06-15 12:58:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=eval | lr=0.00005806 | val_macro_f1=87.2759 | prototype_update=no
2026-06-15 08:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=loader | lr=0.00007428 | val_macro_f1=84.0489 | prototype_update=no
2026-06-15 11:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=train | lr=0.00006565 | val_macro_f1=86.7202 | prototype_update=no
2026-06-15 13:53:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=eval | lr=0.00006132 | val_macro_f1=85.0474 | prototype_update=no
2026-06-15 10:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=loader | lr=0.00005038 | val_macro_f1=88.4046 | prototype_update=no
2026-06-15 11:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=train | lr=0.00007960 | val_macro_f1=89.4522 | prototype_update=no
2026-06-15 12:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=eval | lr=0.00009559 | val_macro_f1=90.8939 | prototype_update=no
2026-06-15 09:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=loader | lr=0.00009576 | val_macro_f1=85.4749 | prototype_update=no
2026-06-15 10:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=train | lr=0.00008939 | val_macro_f1=85.3854 | prototype_update=no
2026-06-15 13:05:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=eval | lr=0.00005046 | val_macro_f1=84.9035 | prototype_update=no
2026-06-15 08:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=loader | lr=0.00008427 | val_macro_f1=84.3186 | prototype_update=no
2026-06-15 10:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=train | lr=0.00008312 | val_macro_f1=91.0336 | prototype_update=no
2026-06-15 12:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=eval | lr=0.00009546 | val_macro_f1=91.5499 | prototype_update=no
2026-06-15 10:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=loader | lr=0.00007648 | val_macro_f1=90.7726 | prototype_update=no
2026-06-15 10:59:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=train | lr=0.00005121 | val_macro_f1=85.7430 | prototype_update=no
2026-06-15 12:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=eval | lr=0.00005018 | val_macro_f1=89.3840 | prototype_update=no
2026-06-15 09:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=loader | lr=0.00005176 | val_macro_f1=86.2600 | prototype_update=no
2026-06-15 11:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=train | lr=0.00007192 | val_macro_f1=87.9063 | prototype_update=yes
2026-06-15 12:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=eval | lr=0.00005470 | val_macro_f1=92.2322 | prototype_update=no
2026-06-16 09:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00005882 | val_macro_f1=89.0901 | prototype_update=no
2026-06-16 11:27:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00008429 | val_macro_f1=84.9779 | prototype_update=no
2026-06-16 14:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00005743 | val_macro_f1=89.0082 | prototype_update=no
2026-06-16 09:12:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00005040 | val_macro_f1=88.0145 | prototype_update=no
2026-06-16 11:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00008750 | val_macro_f1=88.9956 | prototype_update=no
2026-06-16 12:32:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00007934 | val_macro_f1=91.2213 | prototype_update=no
2026-06-16 09:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00006476 | val_macro_f1=89.4645 | prototype_update=no
2026-06-16 10:40:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00006746 | val_macro_f1=90.8246 | prototype_update=no
2026-06-16 12:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00005646 | val_macro_f1=89.6109 | prototype_update=no
2026-06-16 10:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00007711 | val_macro_f1=88.7756 | prototype_update=no
2026-06-16 11:04:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00009216 | val_macro_f1=88.2405 | prototype_update=no
2026-06-16 13:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00005645 | val_macro_f1=88.4640 | prototype_update=no
2026-06-16 09:03:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00009121 | val_macro_f1=86.4492 | prototype_update=no
2026-06-16 10:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00008693 | val_macro_f1=91.4653 | prototype_update=no
2026-06-16 13:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00007176 | val_macro_f1=91.6867 | prototype_update=no
2026-06-16 08:30:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00006011 | val_macro_f1=86.6439 | prototype_update=no
2026-06-16 11:01:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00008712 | val_macro_f1=90.4233 | prototype_update=yes
2026-06-16 12:51:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00009825 | val_macro_f1=88.8740 | prototype_update=no
2026-06-16 09:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00006505 | val_macro_f1=85.9187 | prototype_update=no
2026-06-16 10:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00009389 | val_macro_f1=90.4706 | prototype_update=no
2026-06-16 12:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00007058 | val_macro_f1=89.8513 | prototype_update=no
2026-06-16 09:05:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00009219 | val_macro_f1=84.1150 | prototype_update=no
2026-06-16 11:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00005119 | val_macro_f1=88.2160 | prototype_update=no
2026-06-16 13:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00005979 | val_macro_f1=84.5136 | prototype_update=no
2026-06-16 09:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00008810 | val_macro_f1=84.7232 | prototype_update=no
2026-06-16 10:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00009152 | val_macro_f1=89.9894 | prototype_update=no
2026-06-16 12:35:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00005380 | val_macro_f1=87.8486 | prototype_update=no
2026-06-16 09:39:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00008184 | val_macro_f1=87.0665 | prototype_update=no
2026-06-16 11:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00007312 | val_macro_f1=87.9606 | prototype_update=no
2026-06-16 13:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00009641 | val_macro_f1=85.9463 | prototype_update=no
2026-06-16 09:12:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00006491 | val_macro_f1=87.8268 | prototype_update=no
2026-06-16 10:16:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00007056 | val_macro_f1=87.2067 | prototype_update=no
2026-06-16 12:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=eval | lr=0.00007737 | val_macro_f1=85.9869 | prototype_update=no
2026-06-16 08:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=loader | lr=0.00006492 | val_macro_f1=89.0086 | prototype_update=no
2026-06-16 11:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=train | lr=0.00006868 | val_macro_f1=86.7120 | prototype_update=yes
2026-06-16 12:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=UAMP-Net | stage=eval | lr=0.00006980 | val_macro_f1=91.8928 | prototype_update=no
2026-06-16 09:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=loader | lr=0.00009980 | val_macro_f1=86.9748 | prototype_update=no
2026-06-16 10:29:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=train | lr=0.00007813 | val_macro_f1=90.0976 | prototype_update=no
2026-06-16 13:58:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ResNet-50 | stage=eval | lr=0.00005150 | val_macro_f1=88.1687 | prototype_update=no
2026-06-16 09:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=loader | lr=0.00008263 | val_macro_f1=86.4504 | prototype_update=no
2026-06-16 11:50:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=train | lr=0.00005849 | val_macro_f1=86.9791 | prototype_update=no
2026-06-16 13:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=EfficientNet-B3 | stage=eval | lr=0.00009661 | val_macro_f1=88.1988 | prototype_update=no
2026-06-16 08:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=loader | lr=0.00008570 | val_macro_f1=90.9556 | prototype_update=no
2026-06-16 10:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=train | lr=0.00005980 | val_macro_f1=86.1554 | prototype_update=no
2026-06-16 12:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt-Tiny | stage=eval | lr=0.00007584 | val_macro_f1=85.3035 | prototype_update=no
2026-06-16 09:48:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=loader | lr=0.00007576 | val_macro_f1=91.3392 | prototype_update=no
2026-06-16 11:17:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=train | lr=0.00009173 | val_macro_f1=90.6994 | prototype_update=no
2026-06-16 12:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=Swin-Tiny | stage=eval | lr=0.00008631 | val_macro_f1=90.2187 | prototype_update=no
2026-06-16 08:51:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=loader | lr=0.00006146 | val_macro_f1=84.0247 | prototype_update=no
2026-06-16 10:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=train | lr=0.00009857 | val_macro_f1=87.6671 | prototype_update=no
2026-06-16 13:00:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=ConvNeXt+ARM | stage=eval | lr=0.00006750 | val_macro_f1=91.2869 | prototype_update=no
2026-06-16 09:44:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=loader | lr=0.00006687 | val_macro_f1=92.9170 | prototype_update=no
2026-06-16 10:19:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=train | lr=0.00006759 | val_macro_f1=87.3164 | prototype_update=yes
2026-06-16 12:18:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=CUB-200-2011 | method=UAMP-Net | stage=eval | lr=0.00007001 | val_macro_f1=92.2093 | prototype_update=no
2026-06-17 09:29:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=loader | lr=0.00009599 | val_macro_f1=89.0249 | prototype_update=no
2026-06-17 11:38:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=train | lr=0.00008978 | val_macro_f1=87.2431 | prototype_update=no
2026-06-17 14:09:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ResNet-50 | stage=eval | lr=0.00009719 | val_macro_f1=86.0794 | prototype_update=no
2026-06-17 09:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=loader | lr=0.00009462 | val_macro_f1=84.9827 | prototype_update=no
2026-06-17 12:11:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=train | lr=0.00005953 | val_macro_f1=87.6898 | prototype_update=no
2026-06-17 12:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=EfficientNet-B3 | stage=eval | lr=0.00009980 | val_macro_f1=85.8903 | prototype_update=no
2026-06-17 08:25:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=loader | lr=0.00005296 | val_macro_f1=88.1903 | prototype_update=no
2026-06-17 10:42:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=train | lr=0.00007122 | val_macro_f1=87.3428 | prototype_update=no
2026-06-17 13:57:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt-Tiny | stage=eval | lr=0.00006026 | val_macro_f1=91.8001 | prototype_update=no
2026-06-17 09:49:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=loader | lr=0.00005346 | val_macro_f1=91.8325 | prototype_update=no
2026-06-17 10:37:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=train | lr=0.00005326 | val_macro_f1=91.5033 | prototype_update=no
2026-06-17 13:24:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=Swin-Tiny | stage=eval | lr=0.00005721 | val_macro_f1=87.3837 | prototype_update=no
2026-06-17 09:20:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=loader | lr=0.00007924 | val_macro_f1=89.2681 | prototype_update=no
2026-06-17 11:55:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=train | lr=0.00006837 | val_macro_f1=88.6534 | prototype_update=no
2026-06-17 12:40:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=ConvNeXt+ARM | stage=eval | lr=0.00008554 | val_macro_f1=86.7010 | prototype_update=no
2026-06-17 09:34:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=loader | lr=0.00007620 | val_macro_f1=93.4161 | prototype_update=no
2026-06-17 11:16:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=train | lr=0.00009707 | val_macro_f1=87.3788 | prototype_update=yes
2026-06-17 12:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantVillage | method=UAMP-Net | stage=eval | lr=0.00006388 | val_macro_f1=91.4354 | prototype_update=no
2026-06-17 08:30:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=loader | lr=0.00009837 | val_macro_f1=90.6501 | prototype_update=no
2026-06-17 11:40:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=train | lr=0.00005190 | val_macro_f1=91.1170 | prototype_update=no
2026-06-17 13:07:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ResNet-50 | stage=eval | lr=0.00009581 | val_macro_f1=84.6666 | prototype_update=no
2026-06-17 08:59:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=loader | lr=0.00009742 | val_macro_f1=85.1036 | prototype_update=no
2026-06-17 10:43:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=train | lr=0.00008585 | val_macro_f1=84.6013 | prototype_update=no
2026-06-17 12:56:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=EfficientNet-B3 | stage=eval | lr=0.00005229 | val_macro_f1=89.3320 | prototype_update=no
2026-06-17 08:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=loader | lr=0.00006048 | val_macro_f1=87.5606 | prototype_update=no
2026-06-17 11:46:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=train | lr=0.00009784 | val_macro_f1=87.7842 | prototype_update=no
2026-06-17 13:22:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt-Tiny | stage=eval | lr=0.00006022 | val_macro_f1=91.0227 | prototype_update=no
2026-06-17 09:26:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=loader | lr=0.00008528 | val_macro_f1=87.3036 | prototype_update=no
2026-06-17 10:31:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=train | lr=0.00008533 | val_macro_f1=85.6402 | prototype_update=no
2026-06-17 13:51:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=Swin-Tiny | stage=eval | lr=0.00007089 | val_macro_f1=87.1103 | prototype_update=no
2026-06-17 10:13:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=loader | lr=0.00006672 | val_macro_f1=88.6230 | prototype_update=no
2026-06-17 10:41:00 | INFO | RUN_MODE=deterministic_smoke_test | dataset=PlantDoc | method=ConvNeXt+ARM | stage=train | lr=0.00009013 | val_macro_f1=84.5781 | prototype_update=no
